cluster_id	total_sequences	dominant_category	dominant_count	dominant_percentage	True_Positive_count	True_Positive_percentage	True_Negative_count	True_Negative_percentage	False_Positive_count	False_Positive_percentage	False_Negative_count	False_Negative_percentage
196	4	True Negative	4	100.0	0	0.0	4	100.0	0	0.0	0	0.0
197	4	True Negative	4	100.0	0	0.0	4	100.0	0	0.0	0	0.0
198	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
199	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
200	6	True Negative	5	83.33333333333334	1	16.666666666666664	5	83.33333333333334	0	0.0	0	0.0
201	3	False Positive	3	100.0	0	0.0	0	0.0	3	100.0	0	0.0
202	6	False Positive	6	100.0	0	0.0	0	0.0	6	100.0	0	0.0
203	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
204	6	True Negative	6	100.0	0	0.0	6	100.0	0	0.0	0	0.0
205	3	True Positive	2	66.66666666666666	2	66.66666666666666	0	0.0	1	33.33333333333333	0	0.0
206	3	False Positive	3	100.0	0	0.0	0	0.0	3	100.0	0	0.0
207	3	True Positive	3	100.0	3	100.0	0	0.0	0	0.0	0	0.0
208	5	True Negative	5	100.0	0	0.0	5	100.0	0	0.0	0	0.0
209	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
210	4	True Positive	2	50.0	2	50.0	0	0.0	1	25.0	1	25.0
211	5	True Negative	5	100.0	0	0.0	5	100.0	0	0.0	0	0.0
212	7	True Negative	7	100.0	0	0.0	7	100.0	0	0.0	0	0.0
213	6	True Negative	6	100.0	0	0.0	6	100.0	0	0.0	0	0.0
214	4	True Negative	4	100.0	0	0.0	4	100.0	0	0.0	0	0.0
215	4	True Negative	4	100.0	0	0.0	4	100.0	0	0.0	0	0.0
216	3	False Positive	3	100.0	0	0.0	0	0.0	3	100.0	0	0.0
217	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
218	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
219	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
220	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
221	6	True Positive	4	66.66666666666666	4	66.66666666666666	0	0.0	1	16.666666666666664	1	16.666666666666664
222	4	True Negative	4	100.0	0	0.0	4	100.0	0	0.0	0	0.0
223	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
224	6	True Negative	3	50.0	0	0.0	3	50.0	0	0.0	3	50.0
225	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
226	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
227	10	True Negative	10	100.0	0	0.0	10	100.0	0	0.0	0	0.0
228	3	True Positive	2	66.66666666666666	2	66.66666666666666	0	0.0	1	33.33333333333333	0	0.0
229	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
230	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
231	3	True Positive	2	66.66666666666666	2	66.66666666666666	0	0.0	1	33.33333333333333	0	0.0
232	5	False Negative	2	40.0	0	0.0	2	40.0	1	20.0	2	40.0
233	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
234	6	True Positive	5	83.33333333333334	5	83.33333333333334	0	0.0	1	16.666666666666664	0	0.0
235	5	True Positive	2	40.0	2	40.0	1	20.0	1	20.0	1	20.0
236	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
237	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
238	6	True Negative	2	33.33333333333333	2	33.33333333333333	2	33.33333333333333	0	0.0	2	33.33333333333333
239	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
240	3	False Positive	3	100.0	0	0.0	0	0.0	3	100.0	0	0.0
241	7	True Negative	7	100.0	0	0.0	7	100.0	0	0.0	0	0.0
242	4	True Positive	2	50.0	2	50.0	0	0.0	2	50.0	0	0.0
243	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
244	5	True Negative	5	100.0	0	0.0	5	100.0	0	0.0	0	0.0
245	3	True Positive	2	66.66666666666666	2	66.66666666666666	0	0.0	1	33.33333333333333	0	0.0
246	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
247	3	False Positive	3	100.0	0	0.0	0	0.0	3	100.0	0	0.0
248	4	True Positive	3	75.0	3	75.0	1	25.0	0	0.0	0	0.0
249	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
250	3	True Negative	2	66.66666666666666	0	0.0	2	66.66666666666666	1	33.33333333333333	0	0.0
251	3	True Positive	3	100.0	3	100.0	0	0.0	0	0.0	0	0.0
252	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
253	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
254	3	False Positive	1	33.33333333333333	0	0.0	1	33.33333333333333	1	33.33333333333333	1	33.33333333333333
255	5	True Negative	3	60.0	0	0.0	3	60.0	0	0.0	2	40.0
256	4	True Negative	2	50.0	2	50.0	2	50.0	0	0.0	0	0.0
257	3	False Positive	3	100.0	0	0.0	0	0.0	3	100.0	0	0.0
258	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
259	4	True Positive	4	100.0	4	100.0	0	0.0	0	0.0	0	0.0
260	3	False Positive	3	100.0	0	0.0	0	0.0	3	100.0	0	0.0
261	4	True Negative	3	75.0	0	0.0	3	75.0	1	25.0	0	0.0
262	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
263	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
264	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
265	5	True Negative	5	100.0	0	0.0	5	100.0	0	0.0	0	0.0
266	3	False Negative	1	33.33333333333333	0	0.0	1	33.33333333333333	1	33.33333333333333	1	33.33333333333333
267	4	True Negative	4	100.0	0	0.0	4	100.0	0	0.0	0	0.0
268	4	True Negative	4	100.0	0	0.0	4	100.0	0	0.0	0	0.0
269	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
270	3	False Positive	3	100.0	0	0.0	0	0.0	3	100.0	0	0.0
271	3	True Positive	3	100.0	3	100.0	0	0.0	0	0.0	0	0.0
272	4	True Positive	3	75.0	3	75.0	0	0.0	1	25.0	0	0.0
273	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
274	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
275	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
276	5	True Negative	2	40.0	0	0.0	2	40.0	1	20.0	2	40.0
277	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
278	3	False Positive	3	100.0	0	0.0	0	0.0	3	100.0	0	0.0
279	3	True Positive	3	100.0	3	100.0	0	0.0	0	0.0	0	0.0
280	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
281	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
282	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
283	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
284	3	True Negative	2	66.66666666666666	1	33.33333333333333	2	66.66666666666666	0	0.0	0	0.0
285	3	True Positive	3	100.0	3	100.0	0	0.0	0	0.0	0	0.0
286	4	True Negative	4	100.0	0	0.0	4	100.0	0	0.0	0	0.0
287	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
288	4	True Negative	2	50.0	1	25.0	2	50.0	0	0.0	1	25.0
289	3	True Positive	3	100.0	3	100.0	0	0.0	0	0.0	0	0.0
290	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
291	4	True Positive	3	75.0	3	75.0	0	0.0	0	0.0	1	25.0
292	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
293	3	True Negative	2	66.66666666666666	0	0.0	2	66.66666666666666	1	33.33333333333333	0	0.0
294	3	True Positive	3	100.0	3	100.0	0	0.0	0	0.0	0	0.0
295	4	False Negative	2	50.0	0	0.0	1	25.0	1	25.0	2	50.0
296	3	True Positive	3	100.0	3	100.0	0	0.0	0	0.0	0	0.0
297	3	True Positive	3	100.0	3	100.0	0	0.0	0	0.0	0	0.0
